Data Consegna,Numero Cluster Serviti,Numero Clienti,Distanza Totale Stimata (km),Percorso Ottimo (NN),Cluster Percorso
2025-09-18,1,10,117.4,"[557277, 558101, 585200, 557420, 557410, 554160, 557697, 557824, 585190, 552331]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2025-09-19,1,8,130.76,"[402984, 586294, 401486, 405656, 576851, 406246, 15428, 16201]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2025-09-20,1,4,51.4,"[587084, 580350, 582645, 575771]","['1_0', '1_0', '1_0', '1_0']"
2025-09-21,2,12,107.44,"[405451, 400944, 404650, 588565, 587452, 15626, 401539, 577705, 588075, 405132, 587723, 405794]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-09-22,2,12,133.88,"[558386, 603616, 557443, 557411, 557531, 558295, 558273, 584687, 557120, 575510, 12693, 13802]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0']"
2025-09-23,2,14,168.6,"[402919, 582767, 406321, 402002, 405523, 405917, 16656, 12562, 17338, 405871, 582443, 406256, 404659, 580791]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-09-24,1,4,26.7,"[10552, 12172, 17353, 404166]","['1_0', '1_0', '1_0', '1_0']"
2025-09-26,1,3,35.57,"[586529, 401074, 557954]","['1_0', '1_0', '1_0']"
2025-09-27,1,4,16.0,"[400323, 401076, 400356, 584134]","['1_0', '1_0', '1_0', '1_0']"
2025-09-29,3,20,304.15,"[403423, 580233, 587642, 580938, 586878, 584853, 577865, 401045, 17195, 405012, 585603, 403160, 582168, 584770, 582058, 405636, 401342, 585181, 584043, 578137]","['0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-09-30,1,4,164.55,"[402685, 402851, 10953, 587909]","['0_1', '0_1', '0_1', '0_1']"
2025-10-01,2,14,256.91,"[587112, 400357, 587267, 403909, 401236, 404269, 553714, 581886, 587062, 405926, 586205, 405475, 604199, 401612]","['1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '2', '2', '2', '2', '2']"
2025-10-02,1,5,27.68,"[576957, 588656, 16582, 405943, 584786]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-03,1,5,27.21,"[587868, 579970, 401093, 406239, 585779]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-05,1,9,105.02,"[557417, 557117, 585950, 557518, 558187, 557819, 557061, 557368, 557610]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2025-10-06,3,26,273.85,"[557817, 557366, 557597, 557531, 605299, 557026, 557726, 554999, 584373, 577781, 555390, 550920, 586603, 586283, 555747, 581308, 581287, 555220, 557574, 577712, 557534, 579909, 403662, 578626, 587403, 577726]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-07,1,5,35.07,"[14771, 586733, 401118, 586663, 587941]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-08,1,4,38.45,"[400672, 587019, 580791, 401108]","['1_0', '1_0', '1_0', '1_0']"
2025-10-09,1,5,22.76,"[578121, 401772, 578037, 405782, 586314]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-11,1,12,143.24,"[405964, 579979, 585798, 587857, 585934, 404980, 580938, 402008, 581257, 583047, 403590, 401370]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2025-10-12,3,12,219.87,"[580443, 555528, 588899, 557017, 554343, 404411, 588700, 402498, 575690, 582743, 404927, 588597]","['0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1']"
2025-10-13,2,18,142.77,"[557411, 557410, 557446, 555932, 554269, 586854, 557030, 554572, 558246, 586576, 554233, 557243, 404276, 585473, 402118, 404768, 401698, 583176]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-16,2,9,128.69,"[557466, 557354, 583169, 580244, 405547, 10552, 403252, 406477, 585821]","['0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-17,2,14,159.21,"[402832, 401714, 580233, 576841, 406246, 604715, 584503, 402376, 401985, 401220, 587730, 575734, 588234, 584886]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0']"
2025-10-18,1,5,38.95,"[400498, 405596, 400986, 578565, 558205]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-19,2,10,125.18,"[401715, 580462, 588499, 585377, 14187, 16185, 402625, 401092, 17009, 587267]","['1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-10-20,1,6,42.84,"[584853, 579802, 585340, 577874, 585343, 575358]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-21,2,17,135.43,"[557940, 582638, 557627, 550920, 555528, 604226, 557460, 576459, 557105, 584811, 585302, 558391, 585702, 15587, 11284, 400705, 405831]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0']"
2025-10-22,1,4,23.04,"[588207, 587398, 576715, 401053]","['1_0', '1_0', '1_0', '1_0']"
2025-10-23,2,17,194.51,"[15262, 400877, 586334, 580350, 580791, 587790, 587147, 576958, 582653, 404272, 401236, 557503, 553714, 557638, 557165, 13673, 401911]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-10-24,2,16,162.57,"[557802, 580509, 587017, 557772, 587250, 557981, 558229, 558425, 584687, 579926, 583315, 404015, 405040, 404550, 405630, 578750]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-26,2,19,211.49,"[404869, 577314, 582767, 402002, 588380, 404081, 577302, 588494, 400741, 584169, 17728, 583539, 17466, 581844, 406249, 576486, 585477, 586251, 586776]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-10-29,1,7,43.88,"[586898, 585017, 587296, 16100, 12813, 587403, 585547]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-01,1,6,38.59,"[582766, 585717, 15046, 406433, 604065, 557679]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-02,2,14,192.83,"[577372, 577222, 12578, 402142, 402353, 16331, 401059, 404567, 587909, 402377, 585403, 14998, 586496, 16734]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0']"
2025-11-03,1,6,56.78,"[584577, 584948, 11824, 401200, 587941, 403937]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-04,1,3,32.06,"[17264, 406287, 577726]","['1_0', '1_0', '1_0']"
2025-11-05,2,12,156.7,"[557997, 557106, 586406, 581308, 557923, 555747, 555390, 587418, 553968, 10552, 585083, 575771]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0']"
